ID,final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group,gamer?,game days / week,team frequency,top 5 games,games essay,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
97,99,True,7.0,Always,"Halo,Valorant,OverWatch,COD,Star Wars: KOToR",Gaming shows me how lacking in communication can lead to losing rounds in a game.  ,,High Frequency,,,,,,,,,,,,,,
98,99,True,3.0,Some of the time,"Sid Meier's Civilization,Monster Hunter,The Legend of Zelda: Breath of the Wild,Odin Sphere,Adventure","Overall, yes. Gaming is an opportunity to practice real world skills and modern games are very collaborative. Take Monster Hunter as a example. The goal of that game is to capture/kill dinosaur-like monsters. A player is free to form a team (four person max) and must assume a role (Tank, DPS, Healer, etc). Success is predicated on communication and trust, the players must voice their actions and trust that the people on their team are able to carryout their respective task. In the real-world, Teams that communicate and trust each other are the ones that finish a project.",,Low Frequency,,,,,,,,,,,,,,
99,99,True,4.0,Most of the time,"The Witcher,Apex Legends,Horizon Zero Dawn,Civilization VI,Call of Duty","My gaming can make me a better team player. Battle Royale games like Apex operate under a squad system. We play with 3 players per squad, and I end up playing my favorite character, Gibralter. He isn't that fun to play with, but he is by far the best team player in the game. If you play him correctly, not only will you be able to survive a match, but you can ensure your squadmates do too.

I play a game called Civilization. While it is a single player game, solving your problems diplomatically and acquiring an ally can make the world of difference. Initially it feels as though you are giving up a lot for not, but later down the line you find that your allies will help you when times are hard, just like you did for them.",,High Frequency,,,,,,,,,,,,,,
100,99,True,5.0,Most of the time,"Civilization V,League of Legends,Skyrim,,","Yep, I play on the CSU Esports Assocation varsity League of Legends team. We compete in sponsored tournaments against other schools to win scholarship money. It's a 5v5 team-based game that requires constant communication and teamwork, and it's made me a better team player.",,High Frequency,,,,,,,,,,,,,,
101,99,True,6.0,Most of the time,"Monster Hunter Rise,Counter-Strike: Global Offensive,Forza Horizon 5,Halo Infinite,Dragon Ball FighterZ","I think it does to a certain extent, it makes me a better team player in team games, other teams such as work teams might not benefit to the same extent.",,High Frequency,,,,,,,,,,,,,,
102,99,True,7.0,Some of the time,"Super Smash Bros.,Minecraft,Stellaris,Bloons TD 6,Deep Rock Galactic","The impact of gaming on my ability as a team player varies wildly depending on the type of game. A game like Super Smash Bros. that focuses more on 1v1s and free-for-alls doesn't improve my performance in a team. However, other games that I play encourage or even require teamwork to be successful in the game. Examples of this include working together with other players on a Minecraft server to acquire and manage resources or allying with other player empires in Stellaris. Other games that I have played such as Rainbow Six Siege and Overwatch revolve around team-based strategies and communication to win matches. Although it's difficult to name a lesson that has come out of these experiences, I have found that playing games with a team has made me more comfortable with working with teams in school, work, and other environments.",,High Frequency,,,,,,,,,,,,,,
103,99,True,1.0,Some of the time,",Super Mario Brothers on the Wii ,,,",Not really because I usually play alone or just with my sister.,,Low Frequency,,,,,,,,,,,,,,
104,99,True,4.0,Always,"Hearthstone,Overwatch,Subnautica,World of Warcraft,League of Legends","Gaming certainly makes me a better team player; most of the games I am actively involved in have multiplayer as their central feature. In World of Warcraft, you have to coordinate to form groups, kill bosses, and participate in other content. These skills will carry over very easily to teamwork, ass planning and coordination are essential toward success in the game.",,High Frequency,,,,,,,,,,,,,,
105,99,True,3.0,Some of the time,"Diablo,Halo,Zelda,Spelunky,Any older Bioware title","It has been the case that I have been a good team player during multiplayer gaming in the past, but this is not always the case when I play multiplayer. Sometimes, I just want to contribute to an objective and will play some team-based arena style shooter (rather than a free-for-all); I won't necessarily know the people I am playing with which means I won't openly communicate to maximize effective play. I have probably had greater cooperative experiences outside of videogames as a free schedule to join others I know for cooperative play is always hit-or-miss, and being paired randomly with people is similarly hit-or-miss if a collaborative union forms. However, I will admit that being paired with random people in team-based games does offer me a plethora of considerations for promoting a ""helpful play style,"" and helps me avoid a singular biased perspective for what makes an ""ideal"" team strategy during play.",,Low Frequency,,,,,,,,,,,,,,
106,100,True,1.0,Most of the time,"Hell Let Loose,Madden,Hearts of Iron IV,Worms Revolution,Paladins",For the most part I find playing games individually quite boring. Being on a team is the fun part! Coordinating with friends on what roles to play and executing them effectively is what makes gaming fun and exciting. This is especially true in games like Hell let Loose and Paladins that both have an emphasis on team collaboration. ,,Low Frequency,,,,,,,,,,,,,,
107,100,True,2.0,Most of the time,"Hearthstone,League of Legends,,,","When I play with my friends our teamwork skills will be exercised more often but when I am playing with random teammates it is oftentimes safe to assume one person on my team will have the demeanor of a 13-year-old child so maneuvering around that takes some patience and wisdom.

So yes, I do think gaming helps be a better team player.",,Low Frequency,,,,,,,,,,,,,,
108,100,True,4.0,Half of the time,"Counter Strike Global Offensive,Rocket League,Ark,Borderlands,Minecraft","I think some of the games definitely do. The main team-based ones I play require communication and proper teamwork. In Rocket League you need to know what all is happening and if your teammates need to rotate out as well as when they're setting up a shot for you to take. CSGO requires tons of communication in regards to where the other team is, what is happening at any moment, as well as being able to rotate quickly to where you need to be.",,High Frequency,,,,,,,,,,,,,,
109,100,True,3.0,Half of the time,"Minecraft,Binding of Isaac,Overcooked,Don't Starve,Dicey Dungeons","I would say that gaming does make me a better team player. I have to learn to cooperate with the people I play with, usually friends. Everyone has their own abilities so we have to delegate wisely to perform tasks in games.",,Low Frequency,,,,,,,,,,,,,,
110,100,True,5.0,Never,"Xcom/Xcom2,Europa Universalis 4,Rimworld,Darkest Dungeon,Rouglites",I am not often in team games due to a weird schedule and being socially awkward and shy.,,High Frequency,,,,,,,,,,,,,,
111,101,False,1.0,Never,"Death Stranding,Ghost of Tsushima,Cyberpunk ,The Witcher,Final Fantasy","I only play video games where I don't have to communicate with other people. haha. I do that so much anyway, It's nice to be able to escape in a game without distractions from other robot humans. ",,Low Frequency,,,,,,,,,,,,,,
112,101,True,3.0,Half of the time,"Pokemon Brilliant Diamond,Pokemon Go,Eve Online,Destiny 2,Overwatch","Yes I believe that my history of gaming makes me a better team player. I have been playing games with friends ever since I was in high school (2007-2011). We used to play games over Xbox live and we always played games that were cooperative. I learned very early on that to win, there needs to be good communication and active listening. These 2 tools make me a better team player because it will keep the team first instead of ones own individual goals. 

 

I also only play games with friends that are strategy based. Recently it has been Overwatch/Pokemon Unite, but in the past we have played games like Left 4 Dead, or Gears of War in horde mode. However, whenever I would play games on my own, I try my best to play games that are truly solo games like most of the Pokemon games. I find it tough to enjoy games when you play with others who are not communicating or wanting to work together as a team.",,Low Frequency,,,,,,,,,,,,,,
113,101,True,4.0,Half of the time,"Valheim,Destiny 2,Civilization,The Witcher 3,Dark Souls","Gaming with others makes me a better team player because you learn to appreciate the knowledge/skills of others that you don't have. This allows you to learn both from them, and also to be more aware of what you don't know/can't do and when to let others take the lead.",,High Frequency,,,,,,,,,,,,,,
114,101,True,4.0,Some of the time,"No Man's Sky,Star Citizen,Microsoft Flight Simulator,Anno,Factorio","I think certain games that are crafted to encourage teamwork can certainly help develop proficiency in team dynamics. I play a lot of star citizen with a group of friend from around the world. The game really encourage experimental gameplay that is enhanced greatly by teamwork and role distribution. It also encourages individuals to play to their strengths within a group, leading to a sense of both individual and collective achievment.",,High Frequency,,,,,,,,,,,,,,
115,102,True,2.0,Half of the time,"Genshin Impact,League of Legends,Pokemon,Battlefront 2,Super Smash Bros","In a sense, I think that gaming helps me become a better team player (especially with people that I have never met before). In most team games, coordination is very key, and I think being able to problem solve and work together on the spot should make me a better team player. However, often times in these games, being a team player isn't essential and players can often play without any regard for the rest of the team. Overall, I think gaming definitely has helped me develop some skills that allow me to become a better team player.",,Low Frequency,,,,,,,,,,,,,,
116,102,True,2.0,Half of the time,"Portal 2,Minecraft,Halo 4,Cities: Skylines,Prophunt","Yes, it does. When playing as a team, we must work together to accomplish the task at hand. This requires strong communication and teamwork in order to do so.",,Low Frequency,,,,,,,,,,,,,,
117,102,True,4.0,Half of the time,"Deep Rock Galactic,Minecraft,Rounds,Satisfactory,Super Smash Bros.","I think it does because it teaches communication and patience, especially when I have to communicate to my teammates over a faulty network connection. ",,High Frequency,,,,,,,,,,,,,,
118,10,True,7.0,Always,"OverWatch,league of legend,Dreadhunger,Civilization6,CS go",It could make me a better team player because sometimes when u have a bad teammate u have to control your mood and try to carry your team. Sometimes when I'm throwing a game I need to mute someone's bad words that I can try my best without any influence. ,,High Frequency,,,,,,,,,,,,,,
119,51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",,High Frequency,,,,,,,,,,,,,,
120,65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a cooperative team game. Even though the goal is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and working together to try and come up with a solution is often the only way to succeed. Overwatch is a team-based strategy FPS. It is entirely reliant on teamwork and coordination. I learned to adapt to how other players played and work together to win matches.",,Low Frequency,,,,,,,,,,,,,,
121,67,True,4.0,Some of the time,"Red Dead Redemption 2 ,Tenants (It's a home building game),Cyberpunk 2077,Call of Duty - Only Zombies,Civ 5","It depends, playing team games with a good regular team does. When you play regularly with the same group of people, you are focused on your team either winning or getting the furthest ahead instead of just yourself with random players. Currently, the only game I play as a team is Call of Duty Zombies and I play that with the same team usually. We have to communicate about what rituals we will be doing next, which includes who will be getting different parts. We also have to share loot in order to make sure everyone has around the same level of gun and armor. We have to because as we progress to harder levels if one of our team mate doesn't have the right equipment, they will go down significantly more making it harder for the rest of the team that has to go revive them. As a team, we also split who will be using their points to open doors to ensure not one person loses too much where they can't buy a newer gun or perks. 

 ",,High Frequency,,,,,,,,,,,,,,
122,67,True,3.0,Most of the time,"Rocket League,Multiversus,GTA,Call of Duty,Ready or Not",Yes I think it can. Communicating with people on the game can be beneficial in a team style game. Also being able to take in communication from multiple different people at once to make informed decisions can translate into the real world as well. ,,Low Frequency,,,,,,,,,,,,,,
123,70,True,7.0,Half of the time,"Rainbow Six Siege,Rocket League,Fall guys,Minecraft,Halo Infinite","Yes. When working on a team, you have to be considerate towards your teammates in order to win. If you ignore them then you will likely fail. A good team knows the strengths and weaknesses of everyone on the team, and how best to use them to achieve the goal. You also get to know what you are good and bad at, by comparing yourself to your team. Without a team, you could not know your own strengths and weaknesses.",,High Frequency,,,,,,,,,,,,,,
124,70,True,7.0,Most of the time,"World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft","I am a competitive raider in World of Warcraft consistently ranking in the top 100 ""Guilds"" when clearing the new raids that come to the game. This takes a lot of preparation, planning and several minds to make consistent strategies and ensure each member is aware of what needs to be done. I also excel as an individual player ranking in the top several hundred players of whichever class I play. (Right now its a rogue :) )",,High Frequency,,,,,,,,,,,,,,
125,71,True,5.0,Some of the time,"Starcraft 2,Destiny 2,Super Auto Pets,Minecraft,Diablo 3","Yes, it helps learn efficient, quick, and clear communication while managing multiple tasks at once.",,High Frequency,,,,,,,,,,,,,,
126,73,True,7.0,Always,"War Thunder ,Apex Legends ,Call Of Duty ,Fortnite ,Halo","Yes because in most games it takes a whole team to win, rarely just one person, and why play if not to win. ",,High Frequency,,,,,,,,,,,,,,
127,74,True,7.0,Most of the time,"F1 22,CS:GO,NHL 22,Rocket League,Valorant","I do believe it makes you a better team player due to the trust and communication needed in many games now. I played for CSU's CS:GO team for a couple years and not only does having a team make you want to work harder for them, it also gives you a group of people around you who have similar interests. As you experience difficulty and good times together it gives you that much more motivation to be even better the next time around. ",,High Frequency,,,,,,,,,,,,,,
128,74,True,4.0,Half of the time,"No Man's Sky,Halo,Castle Crashers,Subnautica,Speed Runners",It only makes you a better team player if it is with friends. When cycling through random teammates just once then it not important to be there for your team. But when you have a connection with the teammates then it will make you a better team player.,,High Frequency,,,,,,,,,,,,,,
129,75,True,2.0,Always,"Fortnite,League of Legends,Valorant,Fall Guys,Animal Crossing","I do not believe so. I think that the environment of the gaming community has become so toxic that it is impossible to be an efficient communicator. Especially as a woman in the gaming community, I think that it has made me more resentful of the men. The competitive environment of the games that I play can make it unpleasant to play with other people, and sometimes me. However, I think that more relaxed games make me a good team player.",,Low Frequency,,,,,,,,,,,,,,
130,75,True,5.0,Half of the time,"Payday 2,Clone Hero,Factorio,Call of Duty,Minecraft","On games that can be played with teams, we typically do perform better. Especially with a group of friends and not randoms that won't communicate. We're able to communicate where we are and what the enemy is doing for fighting games, or spread resource gathering and building with other games. I find that with Factorio, we can make really efficient builds when we're able to collaborate on multiple ideas for the factory.",,High Frequency,,,,,,,,,,,,,,
131,76,True,7.0,Always,"Star Wars Battelfront,Brawlhalla,Insurgency sandstorm,starbound,minecraft",I like gaming in teams a lot better. I'm much more of a team player and I'm not the biggest fan of solo games. I do play solo games every now and then but not as often as team based games.,,High Frequency,,,,,,,,,,,,,,
132,77,True,4.0,Always,"League of Legends,Valorant,Fifa,,",Probably. Learn to communicate. Learn what works and what doesn't when talking to teammates. Typically in my games my teammates are random people that I need to be careful not to upset or they will ruin the game,,High Frequency,,,,,,,,,,,,,,
133,77,True,5.0,Some of the time,"Multiversus,Super Smash Bros Ultimate,A lot of indie games,,","Not really. Any online, team-based games that I have played have consisted of a bunch of people doing their own thing, which isn't always the best environment for victory",,High Frequency,,,,,,,,,,,,,,
134,77,True,3.0,Some of the time,"Minecraft,Kenshi,Left 4 Dead,Xcom,Hearts of iron 4",Minecraft taught me how to divide tasks while still having enough awareness of what the other people are doing and how to do it to help if needed. I would say left 4 dead taught me to rely on people but most the time it has ended with me and my friends deciding it would be fun to kill each other. ,,Low Frequency,,,,,,,,,,,,,,
135,79,True,7.0,Most of the time,"League of Legends,Valorant,Rust,It Takes Two,Minecraft","I believe gaming has made me a better team player because I have experinced other players not doing there job during a team game. This has resulted in my development of a ""strong mental."" Which just means I can remain level headed and still work to win or complete an objective despite others bad performance. 

I've learned to be more supportive and encouraging rather than negative because if you're negative it will only make things worse. ",,High Frequency,,,,,,,,,,,,,,
136,79,True,2.0,Some of the time,"Rogue Legacy 2,Raft,The Forest,Poly Bridge 2,Batman: Arkham Origins","I believe that some of my gaming makes me a better team player. In some of the games I've played on teams such as Raft, I've had several occassions where it was easier to tackle and come up with fresh solutions to problems, which would have taken a much longer time to solve by myself. The occasional solo based game allows me to have a greater appreciation for how far I can get on my own versus working with a team, which I find enhances my future team experiences.",,Low Frequency,,,,,,,,,,,,,,
137,81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",,High Frequency,,,,,,,,,,,,,,
138,81,True,7.0,Always,"League of Legends,League of Legends,League of Legends,League of Legends,League of Legends","In video games I am extremely selfish. I always try to make a flashy play and sometimes end up losing my team the game. However in soccer in real life, I am a great team player. I think that playing team games overall has showed me that the team is far more powerful than the individual, although I think it is fun to be the one to make a flashy play sometimes.",,High Frequency,,,,,,,,,,,,,,
139,83,True,7.0,Half of the time,"Rocket league,Cyberpunk 2077,The Forest,League of Legends,Warframe","Yes. I've learned that doing anything with other people is more enjoyable than doing it alone. I have learned how to listen to other's advice without disregarding it and going in my own direction, and how to offer my own advice in a way that allows others to choose to follow it or now. ",,High Frequency,,,,,,,,,,,,,,
140,83,True,2.0,Most of the time,"Call of Duty,Fortnite,Back 4 Blood,Apex,GTAV","Sometimes I feel as though it makes me a better team player, however, the language used for gaming is vastly different than what I would consider to use in a professional setting.",,Low Frequency,,,,,,,,,,,,,,
141,83,True,7.0,Some of the time,"Chess,Magic: the Gathering,Civilization V,Minecraft,Pic-a-Pix","It does.  It teaches me how to communicate with my team members to decide on our goals and priorities, and make plans to accomplish our goals.  It also teaches me how to think about the interlocking progress of a team.  I get practice with teamwork from things like coordinating a battle plan involving both units of mine and those of my teammates in Civilization V, or deciding who will acquire various items for building something in Minecraft.",,High Frequency,,,,,,,,,,,,,,
142,84,True,2.0,Half of the time,"Warzone,OverWatch,Overcooked,Black ops 2,Hearthstone","Yes, I would think that gaming has helped my communication. I play team-based shooters most of the time so being able to communicate in real-time the situation keeps everyone on the same page. I try to be an active team member as much as possible.",,Low Frequency,,,,,,,,,,,,,,
143,84,True,3.0,Some of the time,"Valorant,Rocket League,CS:GO,,","I feel that this question can be answered with both a yes and a no. I think that many people who play video games end up sacrificing using that time to socialize with people and end up being a little bit socially illiterate. Conversely, gaming (especially in teams) can promote strategic thinking and teamwork.",,Low Frequency,,,,,,,,,,,,,,
144,84,True,3.0,Half of the time,"God of War ,Apex Legends,Hallow Knight,Elden Ring,Star Wars Knights of the Old Republic","Yes, gaming in a team is one way of practicing team work that you would otherwise not have.",,Low Frequency,,,,,,,,,,,,,,
145,85,True,7.0,Half of the time,"Chivalry 2,Risk of Rain 2,Blade and Sorcery,Insurgency: Sandstorm,Half-life: Alyx",Playing games effectively means working with others to accomplish various goals. Communication is the most important skill to utilize,,High Frequency,,,,,,,,,,,,,,
146,85,True,7.0,Some of the time,"N/A,FF14,N/A,N/A,N/A","It does! When we have to take on encounters that are otherwise impossible solo, we learn to work together in a coordinated ""dance"" to become victorious!",,High Frequency,,,,,,,,,,,,,,
147,85,True,7.0,Always,"Ark,Rust,Destiny 2,Wizard 101,The forest","Yes, because i learned to stick with my specific role in a team and help out where needed.",,High Frequency,,,,,,,,,,,,,,
148,85,True,2.0,Half of the time,"Elden Ring,Halo (All),Chess,Couch Co-Op Games,PUBG","As with most things, I'd say it's circumstantial and depends mostly on the perspective.

Yes - I used to play Halo 3 and compete on a professional level (i.e., sponsored team travel to tournaments with $25k+ prizes) and I would strongly agree that the communication skills, the ability to analyze (self/team/singular team members/other teams), and understanding scenarios present (in/out of game time, personality traits, mental states of team/opponents) contributed to my daily life outside of gaming for the better.

No - For any team activity to be successful, the individual knowledge/skills of the assignment/goal needs to be relatively close among team members. In gaming, even at competition level, the stakes/risks involved are fairly low I'd say and the knowledge/skill levels are able to categorized in tiers. Among teams away from gaming, with a far less clear tier system and livelihood tossed into the stakes, my experience of knowing how a team should be able to operate (even just fundamentally) can sometimes result in my team skills becoming more critical when team members aren't operating with a team mindset or the lack of effort is noticeably present among individual members.",,Low Frequency,,,,,,,,,,,,,,
149,85,True,7.0,Most of the time,"Destiny 2,Minecraft,No Man's Sky,Fortnite,Factorio","I do believe that gaming makes me a better team player. When playing with others, you often have to work together to complete goals and objectives. To do this effectively, it means you have to listen to each other, be reliable and do your part, help each other improve, and come up with solutions to problems you inevitably encounter. I think those aspects of teamwork are universal concepts and translate very well to other scenarios in life, like working on a group project. ",,High Frequency,,,,,,,,,,,,,,
150,85,True,2.0,Some of the time,"Stellaris,(Various mystery/detective games),Dragon Age,Stardew Valley,Hades","I'd say so, when I do play co-op or multiplayer games. Portal, for instance, requires two players to work together and theoretically not drop the other player into acidic sludge. Stardew co-op mode requires conversation on who is getting what and what to spend the pooled money on, such as whether to spend the money on a barn or coop or upgrade the house. Then there's always Overcooked or Surgeon Simulator or games along those lines that have definitely helped increase my patience when working with other people.",,Low Frequency,,,,,,,,,,,,,,
151,85,True,7.0,Most of the time,"Minecraft,Deep Rock Galactic,Apex Legends,Garry's Mod,Hunt Showdown","Gaming makes me a better team player. Normally I play with my friends in a game like Hunt Showdown where it is imperative that the team is cooperative and works as a single unit or else you will lose to a team that is better than you. Because of this I have a better sense of communication and when I play with random people, I play more effectively .",,High Frequency,,,,,,,,,,,,,,
152,86,True,3.0,Most of the time,"rust,valorant,apex legends,Insurgency: Sandstorm,raft","Yes, by being able to communicate more effectively as a team the more likely we are to win the game or battle. ",,Low Frequency,,,,,,,,,,,,,,
153,86,True,3.0,Half of the time,"GTA 5,League of Legends,MultiVersus,Rocket League,Risk of Rain 2","I believe the only reason I am good at working in a team is because of video games. You learn to trust another member of a team with a task, that you easily could have done, but it would have been less efficient because you were better than them at a different task. You learn to discover each others strength's and weaknesses and build a bond that gives you a huge advantage against others without the same chemistry.",,Low Frequency,,,,,,,,,,,,,,
154,86,True,3.0,Most of the time,"GTA,Valorant,Fortnite,,",Yes because you have to communicate what you are going to do in order to help the others on your team and be able to win.  You have to make choices that will benefit the team instead of ones that will only benefit you since you can't win alone in most of the games I play.,,Low Frequency,,,,,,,,,,,,,,
155,87,True,5.0,Never,"Valorant,League of Legends,Elden Ring,Rust,COD: Warzone","I mostly play team based games and have trouble relying on the randoms i get when it come to trying to achieve a higher elo or rank. Although they are randoms i still heavily use communication to gain the upper hand in matches. Having a preset team would help with the level of clarity in our communication, however there is a unsaid amount of pressure to constantly perform when playing with people you know. Competitive gaming is all about team communication and coordination, which directly translates into other team oriented activities. ",,High Frequency,,,,,,,,,,,,,,
156,87,True,2.0,Most of the time,"Rust,Team Fight Tactics,Minecraft,Fortnite,CSGO","Yes, playing games has helped me work better in teams since it has provided me with the experience of working in teams with various people and adapting to their strengths and weaknesses.",,Low Frequency,,,,,,,,,,,,,,
157,87,True,6.0,Half of the time,"Total War,Guilty Gear Strive,Destiny 2,Survival Games,Steam Games",I would say yes sometimes and no others. It really depends on the people you are with. It definitely teaches you how to handle some people that you are not the biggest fan of. Some games will also help you to divide up everyone's time to be the most efficient while also making sure you are getting the best thing available to you. ,,High Frequency,,,,,,,,,,,,,,
158,87,True,4.0,Most of the time,"Fortnite,Valorant,Sifu,Aimlabs,MineSweeper","It does because the game I play most frequently, Valorant, is a 5v5 first-person shooter. And I play ranked so everyone is competing so they can move up in rank. Comms are essential so we know where the enemy is and who is covering what strong points. So I recognize the need for constant communication and how if even one person is not in communication, then things can start to fall apart rapidly.",,High Frequency,,,,,,,,,,,,,,
159,88,True,5.0,Some of the time,"Old Mario Sports Games,Super Smash Brothers Ultimate,Counter Strike: Mobile Offensive,Pokemon,Valheim","I think I try to keep my personality while gaming separate of anything useful I do. It can be super collaborative environment and also really toxic and I have the tendency to be both and rude if my teammates aren't pulling their own weight; since in a video game, I can just find new teammates.",,High Frequency,,,,,,,,,,,,,,
160,88,True,1.0,Some of the time,"Miitopia,Animal Crossing,Undertale,Sims 4,Graveyard Keeper","I think so as gaming requires open communication and clear directions when in a team, although I usually play by myself.",,Low Frequency,,,,,,,,,,,,,,
161,88,True,2.0,Half of the time,"Valorant,2K,Fall Guys,Warzone,NHL","Yes, because it improves communication and working as a team can help complete goals/tasks easier.",,Low Frequency,,,,,,,,,,,,,,
162,89,True,7.0,Some of the time,"The Legend of Zelda: Breath of the Wild,Super Smash Brothers Ultimate,Mario Kart 8: Deluxe,Risk of Rain 2,Jackbox Party Pack","I feel like my gaming does make me a better team player because some games that I play require a lot of collaboration and communication in order to succeed. Multiplayer games are the most common example of this, but I recently played a puzzle game called The Witness that required me and my girlfriend to share ideas on how we could approach and solve some of the puzzles in order to progress. In my opinion, these games are made more fun with teamwork and collaboration.",,High Frequency,,,,,,,,,,,,,,
163,89,True,4.0,Half of the time,"Factorio,Rocket League,Smash Bros,SlimeRancher,Terraria","Yeah, you have to be able to adapt to scenarios on the fly, and correlate the new tactics with your team. Being able to be on the same page and all contribute is important",,High Frequency,,,,,,,,,,,,,,
164,89,True,4.0,Some of the time,"Minecraft,Super Smash Bros,Mario Kart,Pokemon: Arceus,Luigis Mansion 3","Yes, in Minecraft I learned how to communicate with my friends so that we can all do something important, like I would go and collect wool to make beds to sleep in. My friend Rose would kill animals and find materials like coal to make sure we don't die by starvation, and my friend Dalila would collect wood, dirt, stone so that she could start to build the house. I would also kill mobs when my friends would try and build the house. It was both fun and helpful knowing that as a team we got stuff done more efficiently and faster.",,High Frequency,,,,,,,,,,,,,,
165,89,True,5.0,Most of the time,"Guilty Gear,League of Legends,Minecraft,Elden Ring,Osu!","Just like any other team activity, gaming requires you to be communicative and cooperative with your team so yes, I believe my gaming makes me a better team player.",,High Frequency,,,,,,,,,,,,,,
166,89,True,0.0,Half of the time,"Prototype,Terraria,Fallout: New Vegas,Don't Starve,Sims 4","I have noticed that playing games with friends (particularly ones where I've somehow managed to end up as The One Who Knows How To Play) has helped me get more comfortable being in a leader role, and dividing up tasks based on what the group thinks needs to be done. Not something that comes naturally, for sure - especially remembering who is doing what and checking up on them if we haven't touched base for a while.

I'm unsure how this will translate into class, if at all, since the circumstances are so different.",,Low Frequency,,,,,,,,,,,,,,
167,90,True,3.0,Half of the time,"Fall guys,Fallout,Call of duty,Minecraft,Halo","Depends on the game. FPS makes me a worse teammate, but last man(or team) standing type of games makes me better",,Low Frequency,,,,,,,,,,,,,,
168,91,True,3.0,Some of the time,"The Last Of Us,Halo Reach,Skyrim,Stardew Valley,Overwatch","I don’t think it does, because gaming is more of an escapism and personal activity for me. I rarely play multi player games because of the incredibly toxic and sexist gamer community of multiplayer games, and when I do, I play exclusively to therapeutically mess with incel men who say incredibly inappropriate things to me by kicking their ass in a game. If games weren’t filled with the kind of man who will ask me to “suck his dick” the instant he finds out I am a female, maybe they would help me, but unfortunately, I don’t have the privilege of being a male gamer. ",,Low Frequency,,,,,,,,,,,,,,
169,91,True,4.0,Some of the time,"Minecraft,Factorio,CS:GO,MGS:V,Fortnite",Yes. It helps me communicate better with others when I am put into high intensity situations.,,High Frequency,,,,,,,,,,,,,,
170,91,True,5.0,Some of the time,"Battlefield,Baldurs Gate,PUBG,Elite Dangerous,Total War","Yes, the games I play that are in a team require efficient communication and trusting the other person to do their part.",,High Frequency,,,,,,,,,,,,,,
171,91,True,2.0,Some of the time,"Skate 3,GTA,Minecraft,Mario,Rocket League",Sure. If you want to win you work as a team which will make you a better team player.,,Low Frequency,,,,,,,,,,,,,,
172,91,True,3.0,Half of the time,"Stardew Valley,Sky: Children of the Light,Team Fortress 2,Ori and the Will of the Wisps,Spiritfarer","Not necessarily. I feel like playing games can make someone both a better or a worse team member. Playing games sets in habits, whether they're good for teamwork or not. With the anonymity of the modern internet, people are much more prone to acting rude and volatile (to put it lightly). Playing alone also wouldn't help build good team habits. The only circumstance where playing computer games could help team skills is with others AND being open to cooperation to begin with.

In short, playing games do not inherently make someone a better team member. I personally think physical games, specifically sports, does more for teamwork than computer games.",,Low Frequency,,,,,,,,,,,,,,
173,91,True,5.0,Most of the time,"Tetris,Rocket League,,,","I would say when I'm playing solo queue I am definitely not a better team player because I can't actually visualize that the people I'm playing with are real people or talk to them, so it allows me to get angry easier. However, when I'm playing in voice chat it does help because the tilt can get really bad and you have to be a good teammate to work through it. Pretty much the only game I play is Rocket League and I have thousands of hours at this point.",,High Frequency,,,,,,,,,,,,,,
